Local_Government_Area,VGBO_Region,Like_Councils
Alpine,North East ,Small
Ararat,West ,Small
Ballarat,West ,Regional
Banyule,North Metro,Metropolitan
Bass Coast,Gippsland ,Large
Baw Baw,Gippsland ,Large
Bayside,South Metro,Metropolitan
Benalla,North East ,Small
Boroondara ,East Metro,Metropolitan
Brimbank,West Metro,Metropolitan
Buloke,North ,Small
Campaspe,North ,Large
Cardinia,South Metro,Interface
Casey,South Metro,Interface
Central Goldfields ,North ,Small
Colac-otway,South West ,Large
Corangamite,South West ,Large
Darebin,North Metro,Metropolitan
Delatite,North East ,Small
East Gippsland,Gippsland ,Large
Frankston,South Metro,Metropolitan
Gannawarra,North ,Small
Glen Eira,South Metro,Metropolitan
Glenelg,South West ,Large
Golden Plains,South West ,Large
Greater Bendigo,North ,Regional
Greater Dandenong,South Metro,Metropolitan
Greater Geelong,South West ,Regional
Greater Shepparton,North East ,Regional
Hepburn,West ,Small
Hindmarsh,West ,Small
Hobsons Bay,West Metro,Metropolitan
Horsham,West ,Regional
Hume,North Metro,Interface
Indigo,North East ,Small
Kingston,South Metro,Metropolitan
Knox,East Metro,Metropolitan
La Trobe,Gippsland ,Regional
Loddon,North ,Small
Macedon Ranges,North ,Large
Manningham,East Metro,Metropolitan
Maribyrnong,West Metro,Metropolitan
Maroondah,East Metro,Metropolitan
Melbourne,Inner Metro,Metropolitan
Melton,West Metro,Interface
Mildura,North ,Regional
Mitchell,North East ,Large
Moira,North East ,Large
Monash,East Metro,Metropolitan
Moonee Valley,West Metro,Metropolitan
Moorabool,West ,Large
Moreland,North Metro,Metropolitan
Mornington Peninsula,South Metro,Interface
Mount Alexander,North ,Large
Moyne,South West ,Large
Murrindindi,North East ,Small
Nillumbik,North Metro,Interface
Northern Grampians,North ,Small
Port Phillip,Inner Metro,Metropolitan
Pyrenees,West ,Small
South Gippsland,Gippsland ,Large
Southern Grampians,South West ,Large
Stonnington,Inner Metro,Metropolitan
Strathbogie,North East ,Small
Surf Coast,South West ,Large
Swan Hill,North ,Large
Towong,North East ,Small
Wangaratta,North East ,Regional
Warrnambool,South West ,Regional
Wellington,Gippsland ,Large
West Wimmera,West ,Small
Whitehorse,East Metro,Metropolitan
Whittlesea,North Metro,Interface
Wodonga,North East ,Regional
Wyndham,West Metro,Interface
Yarra,Inner Metro,Metropolitan
Yarra Ranges,East Metro,Interface
Yarriambiack,West ,Small
